,City,Population,Robbery,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
59,Canyon Lake,"11,112",1,93,18,59,16,0
60,Capitola,"10,201",12,658,41,585,32,1
61,Carlsbad,"113,972",38,"2,134",366,"1,627",141,8
62,Carmel,"3,913",0,114,28,79,7,0
63,Carpinteria,"13,829",2,206,45,147,14,3
64,Carson,"93,677",115,"2,146",469,"1,282",395,10
65,Cathedral City,"53,947",49,"1,152",327,505,320,4
66,Central Marin,"35,272",10,757,282,417,58,0
67,Ceres,"47,693",55,"1,606",232,920,454,4
68,Cerritos,"50,238",46,"1,899",354,"1,324",221,1
69,Chico3,"89,949",87,"3,634",642,"2,591",401,191
70,Chino,"86,344",53,"2,138",375,"1,501",262,9
71,Chino Hills,"77,515",23,"1,073",216,761,96,1
72,Chowchilla,"18,978",4,329,91,197,41,7
73,Chula Vista,"265,215",239,"4,619",710,"3,093",816,27
74,Citrus Heights,"86,853",113,"2,586",375,"1,942",269,6
75,City of Angels3,"3,738",1,57,9,37,11,0
76,Claremont3,"36,331",15,985,249,674,62,1
77,Clayton,"11,879",2,150,26,105,19,1
78,Clearlake3,"15,044",27,614,223,302,89,6
79,Cloverdale,"8,839",5,119,22,87,10,0
80,Clovis,"103,769",70,"3,083",420,"2,454",209,5
81,Coachella,"44,953",51,"1,238",200,802,236,6
82,Coalinga,"16,073",5,316,85,204,27,11
83,Colma3,"1,531",3,275,41,208,26,0
84,Colton,"54,503",77,"1,715",361,889,465,3
85,Colusa3,"5,937",2,127,43,71,13,0
86,Commerce,"13,137",28,"1,247",100,798,349,8
87,Compton,"99,125",332,"2,410",496,"1,147",767,53
88,Concord,"128,767",182,"4,618",594,"3,068",956,8
89,Corcoran3,"22,435",13,398,107,212,79,5
90,Corning,"7,527",5,254,74,155,25,6
91,Corona,"163,633",98,"3,727",615,"2,646",466,13
92,Coronado,"25,138",1,379,55,307,17,3
93,Costa Mesa3,"113,477",122,"4,723",698,"3,558",467,18
94,Cotati,"7,469",1,108,32,61,15,1
95,Covina3,"49,300",33,"1,129",238,753,138,8
96,Crescent City3,"6,599",1,152,50,90,12,1
97,Cudahy,"24,410",22,307,48,177,82,0
98,Culver City,"39,890",78,"1,919",214,"1,598",107,0
99,Cupertino,"61,162",27,935,293,583,59,7
100,Cypress3,"49,560",23,889,146,646,97,4
101,Daly City,"107,320",89,"1,778",320,"1,200",258,8
102,Dana Point,"34,312",12,589,120,417,52,1
103,Danville,"44,401",6,490,114,350,26,2
104,Davis,"67,034",40,"1,718",281,"1,332",105,9
105,Delano,"52,534",52,"1,376",267,748,361,26
106,Del Mar,"4,346",0,176,47,122,7,1
107,Del Rey Oaks,"1,696",0,35,7,26,2,0
108,Desert Hot Springs,"28,416",62,"1,110",459,311,340,9
109,Diamond Bar,"57,085",28,804,280,427,97,3
110,Dinuba3,"24,223",13,816,163,536,117,7
111,Dixon,"19,357",14,458,77,340,41,0
112,Dorris3,894,0,27,6,18,3,0
113,Dos Palos,"5,112",3,131,51,64,16,0
114,Downey3,"114,754",173,"2,892",514,"1,586",792,17
115,Duarte,"22,171",19,367,68,233,66,0
116,Dublin,"57,148",17,997,115,758,124,1
117,Dunsmuir3,"1,557",0,23,9,10,4,0
118,East Palo Alto3,"29,864",81,652,126,394,132,9
119,Eastvale,"57,808",13,904,92,702,110,1
120,El Cajon,"103,942",107,"2,267",387,"1,517",363,15
121,El Centro3,"44,033",56,"2,667",493,"1,983",191,11
122,El Cerrito,"24,842",68,"1,231",211,899,121,2
123,Elk Grove,"166,183",105,"3,120",589,"2,294",237,4
124,El Monte3,"117,376",143,"2,132",461,991,680,29
125,El Segundo3,"17,164",22,621,147,426,48,2
126,Emeryville3,"11,549",74,"1,997",120,"1,729",148,1
127,Encinitas,"62,909",27,986,186,712,88,3
128,Escalon,"7,449",1,167,37,117,13,0
129,Escondido,"151,732",176,"3,393",479,"2,308",606,15
130,Etna3,705,0,4,0,3,1,0
131,Eureka3,"26,858",58,"1,801",335,"1,272",194,30
132,Exeter3,"10,611",7,349,118,197,34,7
133,Fairfax,"7,686",1,104,19,79,6,1
134,Fairfield,"112,582",167,"3,429",456,"2,406",567,30
135,Farmersville,"10,835",10,162,41,99,22,0
136,Ferndale3,"1,362",0,12,4,7,1,0
137,Fillmore,"15,519",6,142,40,80,22,5
138,Firebaugh,"8,484",1,97,23,64,10,1
139,Folsom,"76,183",15,"1,185",210,899,76,6
